post_id,title,category,score,num_comments,author,collected_at
49689770,Fixing an NZXT Signal 4K30 part 2: the green/pink video bug,entertainment,25,8,zdw,2026-09-16 09:58:15
49721136,"Photos show damage at U.S. positions caused by Iranian missile, drone attacks",entertainment,4,0,cwwc,2026-09-16 09:58:15
49712276,Show HN: Ordewell – turn one goal into an ordered plan of coding-agent tasks,entertainment,50,30,ac-ciano,2026-09-16 09:58:15
49705442,Show HN: Macros with a Behringer FCB1010 MIDI Pedalboard in macOS,entertainment,83,21,fretlessjazz,2026-09-16 09:58:15
49695408,Show HN: Kinesis – Control your Mac with the Meta Neural Band,entertainment,119,45,callbacked,2026-09-16 09:58:15
49714495,"Show HN: SCIP MIP solver bindings for Go, ported from russcip",entertainment,11,0,generalist_dev,2026-09-16 09:58:15
49696402,Show HN: Pelican-bicycle alternatives,entertainment,128,45,tkgally,2026-09-16 09:58:15
49699267,"Show HN: Nari Qwen3-TTS and Qwen3-ASR – High accuracy, low latency and cost",entertainment,89,31,toebee,2026-09-16 09:58:15
49714036,Show HN: Warp – Run DeepSeek v4.1 Flash with 5 GB of RAM at 3.77 tok/s,entertainment,5,2,marcobambini,2026-09-16 09:58:15
49712073,"Show HN: Open-source passive NFC tag that signs with ECDSA, verified on-chain",entertainment,8,0,boust16,2026-09-16 09:58:15
49676324,LG says we're fake news [video],entertainment,407,207,HelloUsername,2026-09-16 09:58:15
49699159,Show HN: Neobrutalism.dev – Just added Base UI support and added new color theme,entertainment,160,76,samke-,2026-09-16 09:58:15
49713034,Show HN: Let agent read files with secrets while redacting values for LLM contex,entertainment,3,1,daniel-sc,2026-09-16 09:58:15
49712254,Show HN: I built a tiny camera that knows where it is,entertainment,5,4,asadm,2026-09-16 09:58:15
49719052,What if social media isn't hurting kids?,entertainment,7,2,pavel_lishin,2026-09-16 09:58:15
49651567,Sean Carroll explains the biggest ideas in the universe – Full Interview [video] (2025),entertainment,96,30,binyu,2026-09-16 09:58:15
49710096,Show HN: A Zoomable Equal-Area Map Projection that interpolates to Mercator,entertainment,4,0,benjoffe,2026-09-16 09:58:15
